"year","league","club","sum_in","sum_out"
"1992","english_premier_league","Arsenal FC","4.14","2.925"
"1992","english_premier_league","Aston Villa","3.539","0.805"
"1992","english_premier_league","Blackburn Rovers","10.204","1.913"
"1992","english_premier_league","Chelsea FC","2.633","4.588"
"1992","english_premier_league","Coventry City","1.31","0.538"
"1992","english_premier_league","Crystal Palace","0.306","1.68"
"1992","english_premier_league","Everton FC","0.108","3.105"
"1992","english_premier_league","Ipswich Town","0.675","0.36"
"1992","english_premier_league","Leeds United","3.119","1.679"
"1992","english_premier_league","Liverpool FC","3.74","3.805"
"1992","english_premier_league","Manchester City","0.518","1.663"
"1992","english_premier_league","Manchester United","3.173","1.913"
"1992","english_premier_league","Middlesbrough FC","2.87","1.8"
"1992","english_premier_league","Norwich City","0.9","1.344"
"1992","english_premier_league","Nottingham Forest","1.27","4.37"
"1992","english_premier_league","Oldham Athletic","2.315","0.168"
"1992","english_premier_league","Queens Park Rangers","0.113","0.401"
"1992","english_premier_league","Sheffield United","0.324","0.096"
"1992","english_premier_league","Sheffield Wednesday","2.88","0.126"
"1992","english_premier_league","Southampton FC","2.658","5.35"
"1992","english_premier_league","Tottenham Hotspur","6.035","9.545"
"1992","english_premier_league","Wimbledon FC","1.929","0"
"1992","spanish_primera_division","Albacete Balompié","0","0"
"1992","spanish_primera_division","Athletic Bilbao","0","0"
"1992","spanish_primera_division","Atlético Madrid","0","0"
"1992","spanish_primera_division","Burgos CF","0.327","0"
"1992","spanish_primera_division","CA Osasuna","0","0"
"1992","spanish_primera_division","Cádiz CF","0","0"
"1992","spanish_primera_division","CD Logroñés","0","0"
"1992","spanish_primera_division","CD Tenerife","0","0"
"1992","spanish_primera_division","Celta de Vigo","0","0"
"1992","spanish_primera_division","Deportivo de La Coruña","2.07","0"
"1992","spanish_primera_division","FC Barcelona","1.8","0"
"1992","spanish_primera_division","Rayo Vallecano","0","0"
"1992","spanish_primera_division","RCD Espanyol Barcelona","0","0"
"1992","spanish_primera_division","Real Madrid","3.15","1.8"
"1992","spanish_primera_division","Real Oviedo","0","0"
"1992","spanish_primera_division","Real Sociedad","0","0"
"1992","spanish_primera_division","Real Zaragoza","0","1.35"
"1992","spanish_primera_division","Sevilla FC","0","3.15"
"1992","spanish_primera_division","Sporting Gijón","0","0"
"1992","spanish_primera_division","Valencia CF","0","0"
"1992","german_bundesliga_1","1. FC Köln","0.406","0"
"1992","german_bundesliga_1","1.FC Kaiserslautern","1.098","0"
"1992","german_bundesliga_1","1.FC Nuremberg","1.215","2.168"
"1992","german_bundesliga_1","1.FC Saarbrücken","0.135","0"
"1992","german_bundesliga_1","Bayer 04 Leverkusen","1.13","2.52"
"1992","german_bundesliga_1","Bayer 05 Uerdingen","0.608","0"
"1992","german_bundesliga_1","Bayern Munich","9.95","8.51"
"1992","german_bundesliga_1","Borussia Dortmund","5.72","4.28"
"1992","german_bundesliga_1","Borussia Mönchengladbach","0","0"
"1992","german_bundesliga_1","Eintracht Frankfurt","0.338","0"
"1992","german_bundesliga_1","FC Schalke 04","0","0"
"1992","german_bundesliga_1","Hamburger SV","0.585","1.035"
"1992","german_bundesliga_1","Karlsruher SC","0.63","2.25"
"1992","german_bundesliga_1","SG Dynamo Dresden","0","0.54"
"1992","german_bundesliga_1","SG Wattenscheid 09","0","0"
"1992","german_bundesliga_1","SV Werder Bremen","3.538","0.585"
"1992","german_bundesliga_1","VfB Stuttgart","1.13","5.4"
"1992","german_bundesliga_1","VfL Bochum","0","0"
"1992","italian_serie_a","AC Fiorentina","7.88","0"
"1992","italian_serie_a","AC Parma","0","0"
"1992","italian_serie_a","Ancona Calcio","0.315","0"
"1992","italian_serie_a","AS Roma","4.05","0"
"1992","italian_serie_a","Atalanta BC","0.108","0"
"1992","italian_serie_a","Brescia Calcio","3.23","0.108"
"1992","italian_serie_a","Cagliari Calcio","2.7","0"
"1992","italian_serie_a","Delfino Pescara 1936","0","0"
"1992","italian_serie_a","FC Internazionale","33.39","12.065"
"1992","italian_serie_a","Foggia Calcio","0","10.8"
"1992","italian_serie_a","Genoa 1893","0","0"
"1992","italian_serie_a","Juventus FC","23.63","2.88"
"1992","italian_serie_a","Milan AC","23.54","1.8"
"1992","italian_serie_a","SS Lazio","11.95","5.4"
"1992","italian_serie_a","SSC Napoli","0","0"
"1992","italian_serie_a","Torino Calcio","0","8.6"
"1992","italian_serie_a","UC Sampdoria","1.53","14.85"
"1992","italian_serie_a","Udinese Calcio","0.135","0"
"1992","french_ligue_1","AC Le Havre","0","0"
"1992","french_ligue_1","AJ Auxerre","0.034","0.081"
"1992","french_ligue_1","AS Monaco","6.3","5.85"
"1992","french_ligue_1","AS Saint-Étienne","0","0"
"1992","french_ligue_1","FC Girondins Bordeaux","6.3","0"
"1992","french_ligue_1","FC Metz","0","0"
"1992","french_ligue_1","FC Nantes","0","0"
"1992","french_ligue_1","FC Sochaux-Montbéliard","0","0"
"1992","french_ligue_1","FC Toulouse","0","0"
"1992","french_ligue_1","HSC Montpellier","0","0"
"1992","french_ligue_1","LOSC Lille","0","0"
"1992","french_ligue_1","Nîmes Olympique","0","0"
"1992","french_ligue_1","Olympique Lyon","0","0"
"1992","french_ligue_1","Olympique Marseille","0","14.49"
"1992","french_ligue_1","Paris Saint-Germain","5.85","0"
"1992","french_ligue_1","RC Lens","0","0"
"1992","french_ligue_1","RC Strasbourg Alsace","0.63","0"
"1992","french_ligue_1","SM Caen","0","0"
"1992","french_ligue_1","Sporting Club de Toulon et du Var","0","0"
"1992","french_ligue_1","Union Sportive Valenciennes-Anzin Arrondissement","0","0"
"1992","english_championship","Barnsley FC","0.203","0.504"
"1992","english_championship","Birmingham City","0.797","0.212"
"1992","english_championship","Blackburn Rovers","10.204","1.913"
"1992","english_championship","Brentford FC","0.405","0.9"
"1992","english_championship","Bristol City","0.333","0.078"
"1992","english_championship","Cardiff City","0","0"
"1992","english_championship","Charlton Athletic","0","1.418"
"1992","english_championship","Derby County","5.624","0.675"
"1992","english_championship","Fulham FC","0","0"
"1992","english_championship","Huddersfield Town","0","0.308"
"1992","english_championship","Hull City","0","0"
"1992","english_championship","Leeds United","3.119","1.679"
"1992","english_championship","Luton Town","0.216","2.137"
"1992","english_championship","Middlesbrough FC","2.87","1.8"
"1992","english_championship","Millwall FC","0.338","0.729"
"1992","english_championship","Nottingham Forest","1.27","4.37"
"1992","english_championship","Preston North End","0.152","0.39"
"1992","english_championship","Queens Park Rangers","0.113","0.401"
"1992","english_championship","Reading FC","0.072","0.27"
"1992","english_championship","Sheffield Wednesday","2.88","0.126"
"1992","english_championship","Stoke City","0.174","0.422"
"1992","english_championship","Swansea City","0","0.27"
"1992","english_championship","West Bromwich Albion","0.272","0.029"
"1992","english_championship","Wigan Athletic","0","0.306"
"1992","portugese_liga_nos","Belenenses SAD","0","0"
"1992","portugese_liga_nos","Boavista Porto FC","0","2.25"
"1992","portugese_liga_nos","CS Marítimo","0","0"
"1992","portugese_liga_nos","FC Famalicão","0","0"
"1992","portugese_liga_nos","FC Paços de Ferreira","0","0"
"1992","portugese_liga_nos","FC Porto","0","0"
"1992","portugese_liga_nos","FC Tirsense","0","0"
"1992","portugese_liga_nos","GD Chaves","0","0"
"1992","portugese_liga_nos","GD Estoril","0","0"
"1992","portugese_liga_nos","Gil Vicente FC","0","0"
"1992","portugese_liga_nos","SC Beira-Mar","0","0"
"1992","portugese_liga_nos","SC Braga","0","0"
"1992","portugese_liga_nos","SC Espinho","0","0"
"1992","portugese_liga_nos","SC Farense","0","0"
"1992","portugese_liga_nos","SC Salgueiros","0","0"
"1992","portugese_liga_nos","SL Benfica","2.25","0"
"1992","portugese_liga_nos","Sporting CP","0","0"
"1992","portugese_liga_nos","Vitória Guimarães SC","0","0"
"1992","dutch_eredivisie","Ajax Amsterdam","0.83","2.05"
"1992","dutch_eredivisie","Cambuur-Leeuwarden bvo","0.122","0.491"
"1992","dutch_eredivisie","Dordrecht'90","0","0"
"1992","dutch_eredivisie","FC Den Bosch","0","0"
"1992","dutch_eredivisie","FC Groningen","0.307","0"
"1992","dutch_eredivisie","FC Twente Enschede","0.896","1.478"
"1992","dutch_eredivisie","FC Utrecht","0","0"
"1992","dutch_eredivisie","FC Volendam","0","0"
"1992","dutch_eredivisie","Feyenoord Rotterdam","0.941","1.43"
"1992","dutch_eredivisie","Fortuna Sittard","0","0"
"1992","dutch_eredivisie","Go Ahead Eagles Deventer","0","0"
"1992","dutch_eredivisie","MVV Maastricht","0","0.205"
"1992","dutch_eredivisie","PSV Eindhoven","1.15","0"
"1992","dutch_eredivisie","RKC Waalwijk","0","0"
"1992","dutch_eredivisie","Roda JC Kerkrade","0.286","0.327"
"1992","dutch_eredivisie","Sparta Rotterdam","0.005","0.405"
"1992","dutch_eredivisie","Vitesse Arnhem","0","0"
"1992","dutch_eredivisie","Willem II Tilburg","0","0.817"
"1992","russian_premier_liga","Asmaral Moskau","0","0"
"1992","russian_premier_liga","CSKA Moscow","0","0.36"
"1992","russian_premier_liga","Dinamo Moscow","0","0"
"1992","russian_premier_liga","Dinamo Stavropol","0","0"
"1992","russian_premier_liga","KamAZ Naberezhnye Chelny","0","0"
"1992","russian_premier_liga","Krylya Sovetov Samara","0","0"
"1992","russian_premier_liga","Lokomotiv Moscow","0","0"
"1992","russian_premier_liga","Lokomotiv Nizhniy Novgorod","0","0"
"1992","russian_premier_liga","Ocean Nakhodka","0","0"
"1992","russian_premier_liga","Rostselmash Rostov","0","0"
"1992","russian_premier_liga","Rotor Volgograd","0","0"
"1992","russian_premier_liga","Spartak Moscow","0","0"
"1992","russian_premier_liga","Spartak Vladikavkaz","0","0"
"1992","russian_premier_liga","Tekstilshchik Kamyshin","0","0"
"1992","russian_premier_liga","Torpedo Moscow","0","0"
"1992","russian_premier_liga","Uralmash Ekaterinburg","0","0"
"1992","russian_premier_liga","Zhemchuzhina Sochi","0","0"
"1993","english_premier_league","Arsenal FC","1.15","0.342"
"1993","english_premier_league","Aston Villa","3.825","1.036"
"1993","english_premier_league","Blackburn Rovers","10.605","0.664"
"1993","english_premier_league","Chelsea FC","3.462","4.36"
"1993","english_premier_league","Coventry City","0.852","0.576"
"1993","english_premier_league","Everton FC","1.938","1.53"
"1993","english_premier_league","Ipswich Town","2.14","2.171"
"1993","english_premier_league","Leeds United","4.202","7.279"
"1993","english_premier_league","Liverpool FC","4.51","1.915"
"1993","english_premier_league","Manchester City","6.832","0"
"1993","english_premier_league","Manchester United","7.65","0.872"
"1993","english_premier_league","Newcastle United","7.359","4.313"
"1993","english_premier_league","Norwich City","0.563","2.25"
"1993","english_premier_league","Oldham Athletic","0.565","1.348"
"1993","english_premier_league","Queens Park Rangers","0.738","3.02"
"1993","english_premier_league","Sheffield United","0.918","4.291"
"1993","english_premier_league","Sheffield Wednesday","6.604","4.718"
"1993","english_premier_league","Southampton FC","2.628","3.483"
"1993","english_premier_league","Swindon Town","1.57","0.365"
"1993","english_premier_league","Tottenham Hotspur","3.707","3.403"
"1993","english_premier_league","West Ham United","3.131","2.36"
"1993","english_premier_league","Wimbledon FC","0.527","0.317"
"1993","spanish_primera_division","Albacete Balompié","0","0"
"1993","spanish_primera_division","Athletic Bilbao","0","0"
"1993","spanish_primera_division","Atlético Madrid","0","0.9"
"1993","spanish_primera_division","CA Osasuna","0","0"
"1993","spanish_primera_division","CD Logroñés","0","0"
"1993","spanish_primera_division","CD Tenerife","0","0"
"1993","spanish_primera_division","Celta de Vigo","0","0"
"1993","spanish_primera_division","Deportivo de La Coruña","0","0"
"1993","spanish_primera_division","FC Barcelona","11.385","0.9"
"1993","spanish_primera_division","Racing Santander","0","0"
"1993","spanish_primera_division","Rayo Vallecano","0","0"
"1993","spanish_primera_division","Real Madrid","0","1.26"
"1993","spanish_primera_division","Real Oviedo","0","0"
"1993","spanish_primera_division","Real Sociedad","0","0"
"1993","spanish_primera_division","Real Valladolid CF","0","0"
"1993","spanish_primera_division","Real Zaragoza","1.26","0"
"1993","spanish_primera_division","Sevilla FC","0.9","0"
"1993","spanish_primera_division","Sporting Gijón","0","0.585"
"1993","spanish_primera_division","Unió Esportiva Lleida","0","0"
"1993","spanish_primera_division","Valencia CF","9.45","0"
"1993","german_bundesliga_1","1. FC Köln","1.126","1.62"
"1993","german_bundesliga_1","1.FC Kaiserslautern","1.373","2.565"
"1993","german_bundesliga_1","1.FC Nuremberg","2.327","0.27"
"1993","german_bundesliga_1","Bayer 04 Leverkusen","1.941","0.72"
"1993","german_bundesliga_1","Bayern Munich","5.59","3.299"
"1993","german_bundesliga_1","Borussia Dortmund","5.436","2.076"
"1993","german_bundesliga_1","Borussia Mönchengladbach","1.215","0.27"
"1993","german_bundesliga_1","Eintracht Frankfurt","2.655","1.621"
"1993","german_bundesliga_1","FC Schalke 04","0.63","1.575"
"1993","german_bundesliga_1","Hamburger SV","2.318","1.517"
"1993","german_bundesliga_1","Karlsruher SC","1.171","0"
"1993","german_bundesliga_1","MSV Duisburg","0.81","0"
"1993","german_bundesliga_1","SC Freiburg","0.676","0.135"
"1993","german_bundesliga_1","SG Dynamo Dresden","1.306","3.696"
"1993","german_bundesliga_1","SG Wattenscheid 09","0.226","0"
"1993","german_bundesliga_1","SV Werder Bremen","0.99","0.698"
"1993","german_bundesliga_1","VfB Leipzig","0.671","0.36"
"1993","german_bundesliga_1","VfB Stuttgart","3.218","2.295"
"1993","italian_serie_a","AC Parma","1.35","0.09"
"1993","italian_serie_a","AC Reggiana","0","0"
"1993","italian_serie_a","AS Roma","0","0.09"
"1993","italian_serie_a","Atalanta BC","0","0"
"1993","italian_serie_a","Cagliari Calcio","2.25","0"
"1993","italian_serie_a","FC Internazionale","13.91","0"
"1993","italian_serie_a","Foggia Calcio","0","0"
"1993","italian_serie_a","Genoa 1893","0","1.08"
"1993","italian_serie_a","Juventus FC","2.725","11.07"
"1993","italian_serie_a","Milan AC","15.03","0.573"
"1993","italian_serie_a","Piacenza FC","0.09","0"
"1993","italian_serie_a","SS Lazio","21.78","4.365"
"1993","italian_serie_a","SSC Napoli","0","0"
"1993","italian_serie_a","Torino Calcio","0","6.997"
"1993","italian_serie_a","UC Sampdoria","7.02","2.7"
"1993","italian_serie_a","Udinese Calcio","1.35","1.35"
"1993","italian_serie_a","US Cremonese","0","0"
"1993","italian_serie_a","US Lecce","0","0"
"1993","french_ligue_1","AC Le Havre","0","0"
"1993","french_ligue_1","AJ Auxerre","0","0"
"1993","french_ligue_1","AS Cannes","0.027","0"
"1993","french_ligue_1","AS Monaco","0","0"
"1993","french_ligue_1","AS Saint-Étienne","1.13","0"
"1993","french_ligue_1","FC Girondins Bordeaux","0","0"
"1993","french_ligue_1","FC Martigues","0","0"
"1993","french_ligue_1","FC Metz","0","0"
"1993","french_ligue_1","FC Nantes","0","0"
"1993","french_ligue_1","FC Sochaux-Montbéliard","0","0"
"1993","french_ligue_1","FC Toulouse","0","0"
"1993","french_ligue_1","HSC Montpellier","0","0"
"1993","french_ligue_1","LOSC Lille","0","0"
"1993","french_ligue_1","Olympique Lyon","0","0"
"1993","french_ligue_1","Olympique Marseille","4.05","14.85"
"1993","french_ligue_1","Paris Saint-Germain","4.5","0"
"1993","french_ligue_1","RC Lens","0","0"
"1993","french_ligue_1","RC Strasbourg Alsace","0","0"
"1993","french_ligue_1","SCO Angers","0","0"
"1993","french_ligue_1","SM Caen","0","0"
